Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
American International College,MA,1.0,Not MSI,2015.0,30000.0,10895.0,43580.0,35778.13,143112.52,Massachusetts,42.11,-72.56,www.aic.edu/admissions/,11.0,1.0,2.0,23.0,22.0,1.0,35.0,58.0,42.0,0.007782,0.019455,0.0,0.077821,0.412451,0.151751,50526.66667,50526.66667,21196.0,19500.0,25000.0,49770.0,55568.0,47921.5
Stevenson University,MD,1.0,Not MSI,2320.0,30000.0,12806.0,51224.0,35411.97,141647.88,Maryland,39.43,-76.78,www.stevenson.edu/admissions/default.asp,13.0,0.0,4.0,26.0,9.0,0.0,51.0,64.0,36.0,0.084894,0.0,0.052434,0.0,0.27965,0.17603,51124.66667,51124.66667,16208.0,24225.0,22457.0,55176.0,64604.0,47921.5
Towson University,MD,1.0,Not MSI,2320.0,30000.0,802.0,3208.0,23407.97,93631.88,Maryland,39.39,-76.61,https://www.towson.edu/admissions/,11.0,0.0,7.0,29.0,10.0,0.0,47.0,60.0,40.0,0.084054,0.0,0.086214,0.092264,0.146716,0.140666,23715.33333,38767.33333,4493.0,15000.0,17709.0,58409.0,55367.0,47921.5
Berklee College of Music,MA,1.0,Not MSI,2015.0,30000.0,31787.0,127148.0,56670.13,226680.52,Massachusetts,42.35,-71.09,www.berklee.edu/admissions/,18.0,0.0,6.0,7.0,12.0,0.0,43.0,42.0,58.0,0.252087,0.0,0.009182,0.0,0.025876,0.0,60561.33333,60561.33333,40060.0,14615.0,17597.0,34970.0,32096.0,47921.5
Bay Path University,MA,1.0,Not MSI,2015.0,30000.0,3444.0,13776.0,28327.13,113308.52,Massachusetts,42.06,-72.58,www.baypath.edu/admissions-aid/,57.0,0.0,2.0,12.0,24.0,0.0,46.0,100.0,0.0,0.063866,0.087395,0.048739,0.0,0.109244,0.32605,45047.33333,45047.33333,16227.0,18250.0,18572.0,46672.0,42305.0,47921.5
University of Maryland Eastern Shore,MD,0.0,HBCU,2320.0,30000.0,4759.0,19036.0,27364.97,109459.88,Maryland,38.21,-75.69,www.umes.edu/Admissions,11.0,1.0,1.0,58.0,5.0,0.0,9.0,54.0,46.0,0.099738,0.0,0.015748,0.060367,0.049869,0.16273,23686.66667,34305.66667,8095.0,19628.0,21000.0,41531.0,39765.0,47921.5
Maryland Institute College of Art,MD,1.0,Not MSI,2320.0,30000.0,21921.0,87684.0,44526.97,178107.88,Maryland,39.31,-76.62,www.mica.edu/admissions,5.0,0.0,12.0,9.0,10.0,0.0,35.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,63546.66667,63546.66667,16858.0,18750.0,25000.0,44435.0,41123.0,47921.5
University of Maryland-College Park,MD,1.0,Not MSI,2320.0,30000.0,-2272.0,-9088.0,20333.97,81335.88,Maryland,38.99,-76.94,www.admissions.umd.edu/,5.0,0.0,20.0,12.0,10.0,0.0,45.0,49.0,51.0,0.163424,0.0,0.01601,0.139901,0.055665,0.112685,25159.66667,52840.66667,6739.0,17290.0,17750.0,72820.0,63827.0,47921.5
Morgan State University,MD,0.0,HBCU,2320.0,30000.0,4791.0,19164.0,27396.97,109587.88,Maryland,39.34,-76.59,https://morgan.edu/undergradadmissions,11.0,0.0,0.0,66.0,4.0,0.0,1.0,62.0,38.0,0.148506,0.080844,0.063269,0.046573,0.043058,0.196837,21838.33333,32309.33333,12439.0,16750.0,22500.0,43049.0,43417.0,47921.5
Johns Hopkins University,MD,1.0,Not MSI,2320.0,30000.0,-4402.0,-17608.0,18203.97,72815.88,Maryland,39.33,-76.62,https://apply.jhu.edu/,5.0,0.0,26.0,8.0,18.0,0.0,26.0,55.0,45.0,0.231844,0.0,0.0,0.145251,0.074022,0.0,71245.66667,71245.66667,-2634.0,12000.0,8625.0,79574.0,89181.0,47921.5
Mount St. Mary's University,MD,1.0,Not MSI,2320.0,30000.0,8799.0,35196.0,31404.97,125619.88,Maryland,39.68,-77.35,https://msmary.edu/admissions/,5.0,0.0,3.0,21.0,13.0,0.0,52.0,51.0,49.0,0.085995,0.0,0.056511,0.137592,0.034398,0.277641,55736.66667,55736.66667,17324.0,16250.0,22600.0,58754.0,58365.0,47921.5
St. Mary's College of Maryland,MD,1.0,Not MSI,2320.0,30000.0,-2257.0,-9028.0,20348.97,81395.88,Maryland,38.19,-76.43,https://www.smcm.edu/admissions/,4.0,0.0,4.0,11.0,8.0,1.0,69.0,58.0,42.0,0.136364,0.0,0.0,0.233333,0.0,0.0,26738.66667,42814.66667,6266.0,17750.0,16661.0,55233.0,49215.0,47921.5
Salisbury University,MD,1.0,Not MSI,2320.0,30000.0,1476.0,5904.0,24081.97,96327.88,Maryland,38.35,-75.6,www.salisbury.edu/admissions,7.0,1.0,4.0,13.0,6.0,0.0,70.0,56.0,44.0,0.049946,0.027144,0.07329,0.054832,0.087948,0.172638,22521.33333,32791.33333,10674.0,15750.0,18000.0,54149.0,46430.0,47921.5
Notre Dame of Maryland University,MD,1.0,Not MSI,2320.0,30000.0,11945.0,47780.0,34550.97,138203.88,Maryland,39.35,-76.62,www.ndm.edu/admissions-aid,39.0,0.0,7.0,27.0,13.0,0.0,33.0,96.0,4.0,0.06422,0.201835,0.0,0.045872,0.504587,0.050459,56280.0,56280.0,19439.0,14237.0,17919.0,48504.0,56705.0,47921.5
University of Massachusetts-Boston,MA,0.0,AANAPII,2015.0,30000.0,6322.0,25288.0,31205.13,124820.52,Massachusetts,42.31,-71.04,www.umb.edu/admissions,19.0,0.0,15.0,18.0,19.0,0.0,34.0,58.0,42.0,0.081526,0.0,0.028422,0.104712,0.13463,0.172027,28841.66667,49303.66667,14086.0,12000.0,21650.0,53671.0,59510.0,47921.5
University of Massachusetts-Amherst,MA,1.0,Not MSI,2015.0,30000.0,4353.0,17412.0,29236.13,116944.52,Massachusetts,42.39,-72.53,www.umass.edu/admissions/,6.0,0.0,12.0,5.0,9.0,0.0,60.0,51.0,49.0,0.103443,0.012113,0.005579,0.110296,0.08065,0.151259,28569.0,49094.0,6061.0,20750.0,18750.0,62337.0,57085.0,47921.5
University of Massachusetts-Lowell,MA,0.0,AANAPII,2015.0,30000.0,3710.0,14840.0,28593.13,114372.52,Massachusetts,42.65,-71.33,www.uml.edu/admissions/,20.0,0.0,13.0,8.0,13.0,0.0,55.0,41.0,59.0,0.209817,0.033045,0.005454,0.025345,0.068656,0.199872,25628.66667,43554.66667,7628.0,19000.0,19750.0,67004.0,62202.0,47921.5
Harvard University,MA,1.0,Not MSI,2015.0,30000.0,-3855.0,-15420.0,21028.13,84112.52,Massachusetts,42.37,-71.12,college.harvard.edu/admissions,19.0,0.0,18.0,8.0,11.0,0.0,34.0,51.0,49.0,0.129404,0.02168,0.0,0.319783,0.0,0.0,78028.0,78028.0,1754.0,7500.0,16750.0,89591.0,71094.0,47921.5
Massachusetts College of Art and Design,MA,1.0,Not MSI,2015.0,30000.0,8243.0,32972.0,33126.13,132504.52,Massachusetts,42.34,-71.1,massart.edu/Admissions.html,12.0,0.0,7.0,3.0,13.0,0.0,53.0,73.0,27.0,0.0,0.0,0.050125,0.0,0.0,0.0,28066.66667,53666.66667,17476.0,18500.0,19331.0,45570.0,43366.0,47921.5
MCPHS University,MA,1.0,Not MSI,2015.0,30000.0,24350.0,97400.0,49233.13,196932.52,Massachusetts,42.34,-71.1,www.mcphs.edu/admission-and-aid,20.0,0.0,19.0,11.0,11.0,0.0,34.0,76.0,24.0,0.042024,0.0,0.0,0.0,0.939966,0.0,54285.33333,54285.33333,33765.0,22834.0,25000.0,119250.0,114279.0,47921.5
University of Advancing Technology,AZ,1.0,Not MSI,3224.0,30000.0,13326.0,53304.0,29116.02,116464.08,Arizona,33.38,-111.98,www.uat.edu/private-consultation,43.0,3.0,2.0,13.0,16.0,1.0,49.0,20.0,80.0,0.360656,0.0,0.0,0.0,0.0,0.040984,29866.0,29866.0,18411.0,12813.0,11887.0,46380.0,52877.0,47921.5
Lesley University,MA,1.0,Not MSI,2015.0,30000.0,19423.0,77692.0,44306.13,177224.52,Massachusetts,42.38,-71.12,www.lesley.edu/admissions-aid,19.0,0.0,5.0,8.0,17.0,0.0,57.0,77.0,23.0,0.019048,0.16381,0.070476,0.022857,0.070476,0.08,43061.66667,43061.66667,26772.0,15000.0,15332.0,46219.0,47155.0,47921.5
California State University-San Marcos,CA,0.0,AANAPII,3040.0,30000.0,-188.0,-752.0,21357.02,85428.08,California,33.13,-117.16,www.csusm.edu/admissions/,20.0,0.0,10.0,3.0,49.0,0.0,26.0,62.0,38.0,0.069452,0.047206,0.030385,0.185567,0.098209,0.165491,19742.66667,31622.66667,10788.0,11859.0,16000.0,52480.0,58488.0,47921.5
Bridgewater State University,MA,1.0,Not MSI,2015.0,30000.0,4517.0,18068.0,29400.13,117600.52,Massachusetts,41.99,-70.97,www.bridgew.edu/admissions,15.0,0.0,2.0,12.0,8.0,0.0,71.0,59.0,41.0,0.045947,0.0,0.155911,0.060403,0.033557,0.179659,24386.66667,30526.66667,8255.0,18750.0,19436.0,51609.0,54962.0,47921.5
Boston University,MA,1.0,Not MSI,2015.0,30000.0,4703.0,18812.0,29586.13,118344.52,Massachusetts,42.35,-71.11,www.bu.edu/admissions,3.0,0.0,19.0,4.0,10.0,0.0,34.0,58.0,42.0,0.109885,0.0,0.018535,0.149603,0.078111,0.159532,74609.33333,74609.33333,11832.0,22677.0,20000.0,76129.0,65407.0,47921.5
Fisher College,MA,0.0,HSI,2015.0,30000.0,17129.0,68516.0,42012.13,168048.52,Massachusetts,42.36,-71.07,www.fisher.edu/admissions,39.0,0.0,1.0,13.0,15.0,0.0,21.0,69.0,31.0,0.02439,0.020325,0.0,0.0,0.154472,0.361789,47700.0,47700.0,23125.0,12834.0,12540.0,38696.0,44554.0,47921.5
Framingham State University,MA,1.0,Not MSI,2015.0,30000.0,4052.0,16208.0,28935.13,115740.52,Massachusetts,42.3,-71.44,www.framingham.edu/admissions-and-aid/admissions/index,14.0,0.0,4.0,15.0,19.0,0.0,56.0,56.0,44.0,0.06146,0.049936,0.03073,0.135723,0.046095,0.240717,25110.0,31190.0,11944.0,16642.0,14750.0,55248.0,50330.0,47921.5
Pennsylvania College of Technology,PA,1.0,Not MSI,1597.0,30000.0,18238.0,72952.0,36258.6,145034.4,Pennsylvania,41.23,-77.02,https://www.pct.edu/admissions/,17.0,0.0,2.0,4.0,5.0,0.0,86.0,37.0,63.0,0.259375,0.0,0.0,0.0,0.245313,0.15,30585.0,38145.0,20856.0,14250.0,20000.0,49726.0,43492.0,36041.0
Southeastern Louisiana University,LA,1.0,Not MSI,1780.0,30000.0,5181.0,20724.0,16276.97,65107.88,Louisiana,30.51,-90.47,www.southeastern.edu/admin/admissions/index.html,9.0,0.0,1.0,18.0,6.0,0.0,63.0,63.0,37.0,0.059517,0.110456,0.057373,0.017158,0.130295,0.248794,21141.0,33619.0,11729.0,10470.0,15259.0,41313.0,41838.0,47921.5
University of Louisiana at Lafayette,LA,1.0,Not MSI,1780.0,30000.0,7601.0,30404.0,18696.97,74787.88,Louisiana,30.21,-92.02,admissions.louisiana.edu/,13.0,0.0,3.0,23.0,6.0,0.0,61.0,58.0,42.0,0.088738,0.112259,0.096579,0.025659,0.200998,0.136493,24392.0,38120.0,9954.0,14250.0,14929.0,42605.0,41365.0,47921.5
Southern University at New Orleans,LA,0.0,HBCU,1780.0,30000.0,11622.0,46488.0,22717.97,90871.88,Louisiana,30.03,-90.04,www.suno.edu/page/admissions,39.0,0.0,2.0,88.0,2.0,0.0,3.0,73.0,27.0,0.088235,0.092437,0.084034,0.0,0.033613,0.205882,19421.0,28322.0,14301.0,15000.0,22250.0,32032.0,36112.0,47921.5
Southern University and A & M College,LA,0.0,HBCU,1780.0,30000.0,14848.0,59392.0,25943.97,103775.88,Louisiana,30.52,-91.19,https://www.subr.edu/subhome/153,10.0,0.0,0.0,92.0,1.0,0.0,2.0,66.0,34.0,0.071625,0.0,0.00551,0.052342,0.263085,0.170799,21888.66667,29238.66667,15865.0,14250.0,22000.0,37903.0,41329.0,47921.5
University of Holy Cross,LA,1.0,Not MSI,1780.0,30000.0,13227.0,52908.0,24322.97,97291.88,Louisiana,29.91,-89.99,uhcno.edu/admissions,20.0,1.0,5.0,20.0,12.0,0.0,45.0,74.0,26.0,0.106383,0.021277,0.074468,0.0,0.648936,0.053191,27645.0,27645.0,14355.0,16750.0,20938.0,51399.0,45934.0,47921.5
University of Maine at Augusta,ME,1.0,Not MSI,1993.0,30000.0,4669.0,18676.0,25375.62,101502.48,Maine,44.34,-69.8,www.uma.edu/admission/,46.0,1.0,1.0,3.0,4.0,0.0,80.0,68.0,32.0,0.117225,0.272727,0.0,0.011962,0.210526,0.095694,18644.66667,29504.66667,8400.0,9750.0,16134.0,31926.0,35151.0,47921.5
Tulane University of Louisiana,LA,1.0,Not MSI,1780.0,30000.0,17332.0,69328.0,28427.97,113711.88,Louisiana,29.94,-90.12,https://admission.tulane.edu/,5.0,0.0,5.0,6.0,8.0,0.0,68.0,61.0,39.0,0.109482,0.004581,0.004581,0.169492,0.092991,0.238204,76774.66667,76774.66667,23669.0,19000.0,19934.0,60987.0,45879.0,47921.5
Xavier University of Louisiana,LA,0.0,HBCU,1780.0,30000.0,11740.0,46960.0,22835.97,91343.88,Louisiana,29.96,-90.11,https://www.xula.edu/admissions/admissions-aid.html,2.0,0.0,2.0,84.0,5.0,0.0,1.0,76.0,24.0,0.378531,0.0,0.011299,0.062147,0.110169,0.073446,37537.0,37537.0,16864.0,12689.0,12500.0,52221.0,81616.0,47921.5
